run_id,iso3,year,chain,step,value_lcu_mn,item_source_id,basis,period_basis,period_conversion_method,snapshot_sha256,quality_grade,notes
20260909T180316Z,DEU,1991,interest,B_s1311_d41,,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,1270e74f9027cc107a198b7e193b319791d387effc49493a243c83ec39490bd9,A,gov_10a_main S1311 D41PAY
20260909T180316Z,DEU,1991,interest,C_s13_gf01_7,42517.0,package_GF01_7,accrued,CY,,,A,"expenditure_long_strict GF01_7, actuals only"
20260909T180316Z,DEU,1992,interest,A_cg_cash,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht 2025 annex 4.5 Insgesamt (Verzinsung, net of interest income; excl. swaps); max |diff| vs Datenportal Zinsen Dec YTD = 0.5 EUR mn"
20260909T180316Z,DEU,1992,interest,B_s1311_d41,,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,1270e74f9027cc107a198b7e193b319791d387effc49493a243c83ec39490bd9,A,gov_10a_main S1311 D41PAY
20260909T180316Z,DEU,1992,interest,C_s13_gf01_7,52619.99999999999,package_GF01_7,accrued,CY,,,A,"expenditure_long_strict GF01_7, actuals only"
20260909T180316Z,DEU,1993,interest,A_cg_cash,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht 2025 annex 4.5 Insgesamt (Verzinsung, net of interest income; excl. swaps); max |diff| vs Datenportal Zinsen Dec YTD = 0.5 EUR mn"
20260909T180316Z,DEU,1993,interest,B_s1311_d41,,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,1270e74f9027cc107a198b7e193b319791d387effc49493a243c83ec39490bd9,A,gov_10a_main S1311 D41PAY
20260909T180316Z,DEU,1993,interest,C_s13_gf01_7,55595.99999999999,package_GF01_7,accrued,CY,,,A,"expenditure_long_strict GF01_7, actuals only"
20260909T180316Z,DEU,1994,interest,A_cg_cash,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht 2025 annex 4.5 Insgesamt (Verzinsung, net of interest income; excl. swaps); max |diff| vs Datenportal Zinsen Dec YTD = 0.5 EUR mn"
20260909T180316Z,DEU,1994,interest,B_s1311_d41,,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,1270e74f9027cc107a198b7e193b319791d387effc49493a243c83ec39490bd9,A,gov_10a_main S1311 D41PAY
20260909T180316Z,DEU,1994,interest,C_s13_gf01_7,60627.0,package_GF01_7,accrued,CY,,,A,"expenditure_long_strict GF01_7, actuals only"
20260909T180316Z,DEU,1995,interest,A_cg_cash,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht 2025 annex 4.5 Insgesamt (Verzinsung, net of interest income; excl. swaps); max |diff| vs Datenportal Zinsen Dec YTD = 0.5 EUR mn"
20260909T180316Z,DEU,1995,interest,B_s1311_d41,44200.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,1270e74f9027cc107a198b7e193b319791d387effc49493a243c83ec39490bd9,A,gov_10a_main S1311 D41PAY
20260909T180316Z,DEU,1995,interest,C_s13_gf01_7,66581.0,package_GF01_7,accrued,CY,,,A,"expenditure_long_strict GF01_7, actuals only"
20260909T180316Z,DEU,1996,interest,A_cg_cash,38785.0,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht 2025 annex 4.5 Insgesamt (Verzinsung, net of interest income; excl. swaps); max |diff| vs Datenportal Zinsen Dec YTD = 0.5 EUR mn"
